epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
65,41824,0.046,0.003,0.157,0.329,0.269,0.074,0.195,0.232,0.19,0.059,0.145
66,41840,0.044,0.003,0.197,0.301,0.278,0.097,0.222,0.268,0.252,0.094,0.086
67,41856,0.04,0.005,0.169,0.369,0.24,0.073,0.177,0.321,0.188,0.176,0.098
68,41872,0.04,0.003,0.172,0.487,0.245,0.079,0.199,0.362,0.196,0.119,0.078
69,41888,0.04,0.003,0.171,0.406,0.288,0.093,0.183,0.329,0.218,0.109,0.084
70,41904,0.042,0.004,0.2,0.413,0.377,0.097,0.171,0.405,0.254,0.127,0.112
71,41920,0.046,0.004,0.213,0.371,0.255,0.09,0.259,0.35,0.241,0.12,0.088
72,41936,0.042,0.003,0.175,0.381,0.29,0.092,0.218,0.362,0.238,0.103,0.098
73,41952,0.042,0.003,0.182,0.379,0.265,0.085,0.191,0.365,0.23,0.126,0.168
74,41968,0.043,0.004,0.124,0.503,0.348,0.121,0.171,0.356,0.301,0.112,0.114
75,41984,0.034,0.003,0.184,0.405,0.321,0.105,0.168,0.344,0.283,0.083,0.127
76,41600,0.051,0.005,0.196,0.464,0.228,0.093,0.203,0.374,0.219,0.091,0.129
77,41616,0.043,0.004,0.182,0.314,0.238,0.081,0.197,0.377,0.206,0.096,0.082
78,41632,0.042,0.003,0.198,0.411,0.319,0.095,0.224,0.383,0.255,0.092,0.095
79,41648,0.042,0.003,0.177,0.333,0.321,0.104,0.197,0.294,0.255,0.098,0.081
80,41664,0.043,0.003,0.155,0.427,0.308,0.102,0.194,0.339,0.255,0.079,0.063
81,41680,0.043,0.003,0.182,0.37,0.256,0.078,0.195,0.425,0.22,0.138,0.118
82,41696,0.043,0.003,0.138,0.386,0.286,0.096,0.173,0.33,0.245,0.114,0.084
83,41712,0.05,0.004,0.148,0.414,0.229,0.076,0.196,0.385,0.193,0.102,0.1
84,41728,0.048,0.003,0.147,0.49,0.249,0.075,0.212,0.292,0.214,0.108,0.07
85,41744,0.044,0.003,0.162,0.355,0.365,0.113,0.198,0.268,0.275,0.102,0.104
86,41760,0.05,0.003,0.231,0.326,0.291,0.086,0.209,0.36,0.228,0.111,0.115
87,41776,0.051,0.003,0.165,0.389,0.292,0.092,0.215,0.4,0.239,0.115,0.1
88,41792,0.051,0.003,0.14,0.484,0.285,0.09,0.185,0.364,0.224,0.158,0.099
89,41808,0.046,0.003,0.195,0.493,0.363,0.133,0.236,0.351,0.318,0.11,0.117
90,41824,0.043,0.003,0.252,0.405,0.368,0.101,0.264,0.38,0.258,0.11,0.118
91,41840,0.044,0.003,0.261,0.433,0.267,0.086,0.257,0.372,0.22,0.097,0.081
92,41856,0.047,0.003,0.184,0.343,0.314,0.096,0.181,0.325,0.272,0.118,0.096
93,41872,0.053,0.003,0.176,0.386,0.261,0.075,0.192,0.407,0.214,0.122,0.121
94,41888,0.049,0.004,0.221,0.364,0.3,0.099,0.24,0.3,0.256,0.082,0.057
95,41904,0.044,0.003,0.162,0.392,0.27,0.073,0.2,0.443,0.192,0.163,0.093
96,41920,0.044,0.003,0.151,0.393,0.269,0.08,0.146,0.392,0.204,0.107,0.158
97,41936,0.05,0.003,0.166,0.337,0.322,0.108,0.196,0.355,0.242,0.104,0.125
98,41952,0.046,0.004,0.164,0.667,0.285,0.096,0.163,0.275,0.195,0.08,0.113
99,41968,0.044,0.003,0.15,0.329,0.337,0.107,0.191,0.268,0.281,0.09,0.07
100,41984,0.042,0.004,0.192,0.419,0.313,0.092,0.203,0.311,0.239,0.079,0.094
101,41600,0.044,0.003,0.181,0.338,0.282,0.065,0.224,0.274,0.224,0.221,0.263
102,41616,0.049,0.004,0.176,0.54,0.286,0.095,0.194,0.381,0.243,0.131,0.262
103,41632,0.046,0.004,0.172,0.348,0.34,0.098,0.217,0.37,0.247,0.087,0.101
104,41648,0.045,0.004,0.147,0.369,0.241,0.071,0.198,0.422,0.211,0.13,0.07
105,41664,0.045,0.004,0.194,0.322,0.266,0.086,0.172,0.35,0.207,0.106,0.131
106,41680,0.055,0.003,0.135,0.308,0.268,0.071,0.163,0.364,0.215,0.119,0.163
