epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
55,16464,0.039,0.004,0.188,0.35,0.272,0.078,0.212,0.347,0.203,0.125,0.096
55,16864,0.039,0.003,0.189,0.425,0.223,0.065,0.19,0.494,0.167,0.143,0.124
55,17264,0.038,0.003,0.184,0.446,0.302,0.087,0.203,0.357,0.22,0.121,0.105
55,17664,0.044,0.003,0.144,0.406,0.295,0.099,0.19,0.381,0.227,0.112,0.104
55,18064,0.039,0.003,0.234,0.353,0.224,0.071,0.232,0.402,0.188,0.111,0.109
55,18464,0.039,0.003,0.159,0.404,0.28,0.094,0.162,0.415,0.233,0.092,0.087
55,18864,0.04,0.003,0.21,0.436,0.216,0.073,0.209,0.419,0.174,0.118,0.189
55,19264,0.04,0.003,0.196,0.412,0.265,0.087,0.183,0.323,0.206,0.105,0.153
55,19664,0.037,0.003,0.201,0.405,0.21,0.076,0.222,0.314,0.189,0.085,0.071
55,20064,0.042,0.004,0.175,0.467,0.264,0.088,0.198,0.359,0.224,0.109,0.07
55,20464,0.043,0.004,0.182,0.436,0.355,0.132,0.185,0.399,0.306,0.132,0.18
55,20864,0.04,0.003,0.189,0.4,0.347,0.162,0.21,0.278,0.333,0.092,0.149
55,21264,0.042,0.004,0.188,0.433,0.265,0.085,0.208,0.474,0.202,0.103,0.078
55,21664,0.043,0.003,0.184,0.309,0.326,0.108,0.194,0.309,0.245,0.082,0.096
55,22064,0.04,0.003,0.152,0.432,0.285,0.097,0.214,0.443,0.233,0.142,0.084
55,22464,0.039,0.004,0.173,0.369,0.304,0.1,0.185,0.302,0.245,0.133,0.123
55,22864,0.043,0.003,0.11,0.346,0.371,0.145,0.15,0.406,0.32,0.104,0.081
55,23264,0.04,0.003,0.228,0.475,0.307,0.116,0.203,0.292,0.257,0.116,0.164
55,23664,0.039,0.003,0.184,0.32,0.326,0.075,0.161,0.542,0.228,0.129,0.095
55,24064,0.039,0.004,0.165,0.383,0.36,0.087,0.144,0.41,0.224,0.122,0.097
55,24464,0.037,0.003,0.196,0.376,0.287,0.117,0.177,0.339,0.251,0.1,0.137
55,24864,0.039,0.003,0.132,0.369,0.327,0.115,0.149,0.312,0.268,0.093,0.088
55,25264,0.039,0.003,0.215,0.427,0.313,0.094,0.173,0.315,0.222,0.113,0.099
55,25664,0.044,0.003,0.2,0.296,0.401,0.129,0.211,0.255,0.3,0.114,0.104
55,26064,0.043,0.003,0.192,0.425,0.293,0.063,0.19,0.35,0.164,0.125,0.112
55,26464,0.038,0.003,0.23,0.315,0.31,0.102,0.213,0.366,0.278,0.103,0.102
55,26864,0.039,0.004,0.216,0.403,0.384,0.128,0.213,0.363,0.289,0.118,0.145
55,27264,0.042,0.003,0.244,0.286,0.302,0.098,0.214,0.315,0.242,0.106,0.1
55,27664,0.039,0.003,0.213,0.366,0.296,0.087,0.219,0.371,0.223,0.098,0.085
55,28064,0.04,0.003,0.186,0.461,0.269,0.071,0.171,0.365,0.187,0.13,0.086
55,28464,0.038,0.003,0.174,0.322,0.284,0.078,0.181,0.434,0.19,0.115,0.083
55,28864,0.039,0.004,0.215,0.42,0.322,0.069,0.212,0.441,0.199,0.158,0.113
55,29264,0.038,0.003,0.162,0.385,0.286,0.08,0.196,0.283,0.186,0.141,0.098
55,29664,0.04,0.004,0.267,0.428,0.275,0.084,0.277,0.376,0.214,0.118,0.075
55,30064,0.044,0.003,0.182,0.35,0.322,0.126,0.19,0.315,0.292,0.126,0.104
55,30464,0.043,0.003,0.173,0.499,0.242,0.072,0.199,0.374,0.178,0.156,0.104
55,30864,0.039,0.003,0.197,0.344,0.27,0.087,0.226,0.333,0.223,0.132,0.106
55,31264,0.039,0.004,0.181,0.377,0.265,0.094,0.206,0.354,0.233,0.081,0.112
55,31664,0.038,0.005,0.172,0.339,0.244,0.081,0.202,0.319,0.197,0.098,0.128
55,32064,0.042,0.003,0.207,0.457,0.272,0.097,0.206,0.379,0.244,0.11,0.152
55,32464,0.044,0.003,0.218,0.367,0.241,0.087,0.2,0.377,0.22,0.1,0.079
55,32864,0.039,0.003,0.197,0.36,0.271,0.093,0.256,0.337,0.239,0.121,0.082
55,33264,0.038,0.003,0.163,0.46,0.287,0.095,0.173,0.371,0.231,0.149,0.101
55,33664,0.039,0.005,0.216,0.334,0.207,0.059,0.26,0.386,0.166,0.122,0.131
55,34064,0.039,0.003,0.213,0.467,0.3,0.104,0.189,0.328,0.244,0.127,0.16
55,34464,0.049,0.003,0.207,0.3,0.229,0.081,0.24,0.359,0.206,0.113,0.123
55,34864,0.043,0.004,0.174,0.409,0.252,0.087,0.186,0.354,0.208,0.079,0.126
55,35264,0.04,0.003,0.183,0.302,0.386,0.12,0.172,0.329,0.297,0.125,0.122
55,35664,0.039,0.003,0.202,0.413,0.26,0.079,0.225,0.352,0.201,0.162,0.075
55,36064,0.044,0.005,0.189,0.369,0.297,0.109,0.203,0.356,0.25,0.087,0.069
55,36464,0.04,0.004,0.187,0.427,0.281,0.087,0.161,0.433,0.201,0.129,0.077
55,36864,0.044,0.003,0.167,0.387,0.261,0.098,0.183,0.325,0.24,0.091,0.07
55,37264,0.049,0.003,0.219,0.347,0.292,0.073,0.234,0.393,0.19,0.155,0.092
55,37664,0.043,0.003,0.188,0.316,0.228,0.081,0.201,0.348,0.193,0.115,0.12
55,38064,0.04,0.003,0.183,0.308,0.249,0.086,0.191,0.348,0.221,0.092,0.088
55,38464,0.038,0.003,0.186,0.443,0.236,0.074,0.224,0.454,0.191,0.129,0.153
55,38864,0.038,0.004,0.197,0.303,0.321,0.098,0.219,0.297,0.243,0.114,0.115
55,39264,0.037,0.003,0.211,0.36,0.292,0.106,0.219,0.351,0.247,0.092,0.099
55,39664,0.043,0.003,0.184,0.374,0.252,0.092,0.239,0.36,0.232,0.096,0.178
55,40064,0.044,0.004,0.201,0.415,0.261,0.113,0.2,0.379,0.233,0.087,0.081
55,40464,0.044,0.004,0.241,0.33,0.322,0.098,0.231,0.315,0.25,0.11,0.133
55,40864,0.039,0.003,0.206,0.518,0.325,0.094,0.222,0.487,0.235,0.135,0.126
55,41264,0.038,0.004,0.182,0.356,0.294,0.086,0.209,0.309,0.223,0.125,0.089
55,41664,0.044,0.004,0.19,0.322,0.327,0.098,0.205,0.413,0.24,0.09,0.094
56,80,0.039,0.005,0.152,0.393,0.262,0.085,0.195,0.264,0.203,0.092,0.08
56,480,0.04,0.003,0.16,0.402,0.285,0.1,0.173,0.541,0.245,0.091,0.099
56,880,0.039,0.003,0.16,0.32,0.322,0.099,0.177,0.294,0.241,0.11,0.105
56,1280,0.039,0.002,0.213,0.487,0.292,0.085,0.215,0.399,0.218,0.141,0.134
56,1680,0.038,0.003,0.195,0.312,0.284,0.09,0.23,0.362,0.217,0.077,0.086
56,2080,0.038,0.003,0.165,0.332,0.341,0.101,0.175,0.297,0.253,0.09,0.089
56,2480,0.045,0.003,0.208,0.556,0.323,0.066,0.208,0.629,0.176,0.104,0.105
56,2880,0.04,0.004,0.205,0.244,0.346,0.086,0.202,0.285,0.226,0.107,0.089
56,3280,0.039,0.003,0.209,0.337,0.37,0.082,0.202,0.459,0.196,0.107,0.111
56,3680,0.043,0.003,0.213,0.327,0.317,0.136,0.223,0.296,0.288,0.091,0.149
56,4080,0.043,0.003,0.183,0.365,0.318,0.075,0.198,0.504,0.191,0.116,0.081
56,4480,0.044,0.003,0.2,0.366,0.39,0.09,0.223,0.304,0.21,0.123,0.081
56,4880,0.039,0.003,0.176,0.397,0.312,0.098,0.186,0.513,0.239,0.087,0.082
56,5280,0.037,0.003,0.234,0.335,0.318,0.071,0.184,0.356,0.186,0.131,0.113
56,5680,0.038,0.003,0.235,0.268,0.361,0.098,0.239,0.375,0.24,0.12,0.095
56,6080,0.038,0.003,0.228,0.316,0.411,0.1,0.219,0.363,0.242,0.166,0.189
56,6480,0.043,0.003,0.194,0.431,0.342,0.084,0.211,0.411,0.217,0.14,0.099
56,6880,0.04,0.003,0.202,0.304,0.316,0.086,0.224,0.362,0.229,0.121,0.089
56,7280,0.049,0.003,0.193,0.313,0.273,0.101,0.191,0.263,0.225,0.096,0.069
56,7680,0.039,0.004,0.212,0.336,0.274,0.076,0.166,0.422,0.194,0.114,0.075
56,8080,0.039,0.003,0.184,0.368,0.318,0.11,0.174,0.362,0.286,0.105,0.084
56,8480,0.039,0.004,0.136,0.318,0.257,0.087,0.195,0.406,0.229,0.097,0.071
56,8880,0.041,0.003,0.196,0.388,0.302,0.13,0.186,0.411,0.27,0.125,0.107
56,9280,0.044,0.003,0.208,0.326,0.304,0.119,0.25,0.343,0.291,0.084,0.11
56,9680,0.038,0.004,0.232,0.448,0.258,0.072,0.224,0.45,0.175,0.143,0.114
56,10080,0.04,0.003,0.187,0.367,0.312,0.103,0.202,0.352,0.261,0.126,0.132
56,10480,0.044,0.003,0.188,0.32,0.24,0.074,0.208,0.32,0.215,0.109,0.112
56,10880,0.044,0.003,0.197,0.373,0.269,0.081,0.205,0.343,0.209,0.146,0.153
56,11280,0.04,0.003,0.194,0.34,0.353,0.118,0.219,0.364,0.3,0.118,0.106
56,11680,0.038,0.003,0.215,0.361,0.222,0.082,0.22,0.321,0.193,0.095,0.101
56,12080,0.044,0.003,0.215,0.442,0.242,0.083,0.205,0.446,0.201,0.122,0.087
56,12480,0.042,0.003,0.169,0.426,0.222,0.069,0.203,0.266,0.191,0.131,0.086
56,12880,0.044,0.004,0.211,0.369,0.265,0.092,0.242,0.387,0.218,0.081,0.073
56,13280,0.039,0.003,0.183,0.491,0.274,0.11,0.163,0.394,0.235,0.112,0.095
56,13680,0.038,0.004,0.197,0.434,0.262,0.087,0.214,0.329,0.222,0.114,0.084
56,14080,0.042,0.003,0.213,0.237,0.288,0.095,0.24,0.419,0.241,0.136,0.072
56,14480,0.04,0.004,0.155,0.555,0.218,0.064,0.194,0.416,0.173,0.118,0.095
56,14880,0.038,0.003,0.185,0.341,0.318,0.114,0.185,0.31,0.276,0.124,0.109
56,15280,0.041,0.003,0.171,0.388,0.254,0.085,0.209,0.387,0.199,0.138,0.173
56,15680,0.04,0.004,0.189,0.306,0.265,0.098,0.216,0.272,0.237,0.115,0.154
56,16080,0.038,0.003,0.161,0.468,0.243,0.085,0.194,0.459,0.211,0.11,0.135
56,16480,0.04,0.004,0.168,0.43,0.296,0.102,0.183,0.284,0.243,0.121,0.148
56,16880,0.042,0.005,0.172,0.341,0.319,0.093,0.209,0.417,0.232,0.134,0.1
56,17280,0.038,0.003,0.198,0.458,0.281,0.091,0.206,0.312,0.233,0.106,0.112
56,17680,0.039,0.004,0.176,0.472,0.308,0.099,0.206,0.402,0.241,0.121,0.129
56,18080,0.039,0.004,0.198,0.35,0.261,0.079,0.214,0.408,0.209,0.13,0.084
56,18480,0.039,0.004,0.184,0.472,0.255,0.075,0.201,0.256,0.202,0.128,0.068
56,18880,0.044,0.004,0.22,0.346,0.229,0.073,0.249,0.374,0.183,0.117,0.094
56,19280,0.039,0.004,0.169,0.451,0.258,0.088,0.196,0.389,0.238,0.11,0.128
56,19680,0.04,0.004,0.19,0.366,0.243,0.071,0.209,0.428,0.195,0.144,0.15
56,20080,0.038,0.003,0.168,0.418,0.324,0.111,0.2,0.306,0.262,0.103,0.071
56,20480,0.04,0.003,0.224,0.343,0.303,0.108,0.205,0.323,0.251,0.106,0.098
56,20880,0.039,0.003,0.146,0.509,0.248,0.085,0.158,0.354,0.218,0.115,0.068
56,21280,0.04,0.004,0.178,0.511,0.244,0.089,0.223,0.37,0.251,0.083,0.079
56,21680,0.044,0.003,0.204,0.385,0.265,0.089,0.237,0.334,0.234,0.127,0.086
56,22080,0.04,0.003,0.172,0.41,0.274,0.094,0.223,0.335,0.229,0.137,0.06
56,22480,0.042,0.003,0.212,0.57,0.225,0.08,0.218,0.393,0.2,0.129,0.089
56,22880,0.039,0.003,0.141,0.382,0.288,0.11,0.186,0.347,0.227,0.075,0.084
56,23280,0.038,0.004,0.156,0.311,0.405,0.151,0.223,0.341,0.32,0.116,0.112
56,23680,0.039,0.003,0.139,0.405,0.273,0.105,0.182,0.338,0.25,0.11,0.075
56,24080,0.048,0.003,0.138,0.42,0.242,0.076,0.18,0.348,0.197,0.107,0.061
56,24480,0.039,0.004,0.189,0.535,0.3,0.095,0.221,0.402,0.227,0.112,0.095
56,24880,0.041,0.004,0.15,0.32,0.241,0.085,0.213,0.377,0.209,0.131,0.139
56,25280,0.04,0.003,0.176,0.353,0.306,0.1,0.228,0.474,0.255,0.085,0.102
56,25680,0.039,0.003,0.155,0.466,0.288,0.09,0.188,0.471,0.238,0.132,0.151
56,26080,0.044,0.003,0.217,0.323,0.28,0.095,0.229,0.306,0.209,0.086,0.111
56,26480,0.038,0.003,0.201,0.45,0.275,0.116,0.214,0.423,0.238,0.106,0.124
56,26880,0.041,0.003,0.18,0.335,0.254,0.083,0.19,0.321,0.2,0.109,0.135
56,27280,0.041,0.004,0.189,0.391,0.294,0.108,0.195,0.346,0.252,0.081,0.08
56,27680,0.044,0.004,0.158,0.506,0.247,0.074,0.187,0.393,0.198,0.149,0.167
56,28080,0.039,0.003,0.211,0.323,0.296,0.084,0.194,0.302,0.212,0.121,0.135
56,28480,0.038,0.003,0.193,0.274,0.3,0.095,0.229,0.395,0.225,0.115,0.111
56,28880,0.044,0.003,0.191,0.469,0.283,0.111,0.188,0.321,0.244,0.113,0.123
56,29280,0.04,0.005,0.194,0.391,0.246,0.081,0.197,0.356,0.198,0.122,0.123
56,29680,0.038,0.003,0.181,0.382,0.34,0.101,0.192,0.409,0.268,0.149,0.146
56,30080,0.04,0.005,0.22,0.301,0.283,0.09,0.251,0.343,0.235,0.13,0.139
56,30480,0.038,0.004,0.214,0.362,0.348,0.105,0.211,0.268,0.286,0.116,0.098
56,30880,0.044,0.003,0.184,0.332,0.286,0.092,0.185,0.318,0.236,0.108,0.095
56,31280,0.039,0.004,0.155,0.441,0.267,0.082,0.178,0.381,0.226,0.124,0.108
56,31680,0.04,0.004,0.185,0.383,0.286,0.131,0.196,0.308,0.27,0.097,0.105
56,32080,0.039,0.004,0.141,0.335,0.283,0.086,0.16,0.425,0.246,0.109,0.103
56,32480,0.038,0.003,0.2,0.405,0.309,0.11,0.211,0.407,0.258,0.131,0.138
56,32880,0.041,0.004,0.19,0.366,0.267,0.08,0.222,0.371,0.234,0.11,0.095
56,33280,0.038,0.003,0.175,0.367,0.324,0.122,0.191,0.424,0.259,0.074,0.174
56,33680,0.043,0.004,0.202,0.341,0.371,0.134,0.223,0.233,0.329,0.113,0.133
56,34080,0.039,0.003,0.145,0.409,0.328,0.107,0.227,0.435,0.25,0.118,0.107
56,34480,0.04,0.003,0.17,0.395,0.254,0.083,0.194,0.329,0.202,0.126,0.146
56,34880,0.04,0.004,0.125,0.462,0.306,0.093,0.129,0.433,0.231,0.122,0.165
56,35280,0.044,0.004,0.195,0.282,0.265,0.092,0.21,0.329,0.217,0.092,0.07
56,35680,0.044,0.004,0.192,0.389,0.301,0.061,0.19,0.489,0.17,0.113,0.141
56,36080,0.038,0.003,0.204,0.338,0.328,0.088,0.217,0.324,0.233,0.138,0.131
56,36480,0.039,0.003,0.199,0.484,0.277,0.073,0.235,0.472,0.185,0.106,0.102
56,36880,0.039,0.003,0.21,0.315,0.324,0.102,0.199,0.241,0.259,0.097,0.118
56,37280,0.04,0.003,0.222,0.402,0.262,0.085,0.232,0.506,0.202,0.125,0.174
56,37680,0.044,0.003,0.201,0.402,0.216,0.077,0.23,0.314,0.186,0.114,0.097
56,38080,0.038,0.003,0.194,0.397,0.266,0.093,0.287,0.443,0.228,0.09,0.075
56,38480,0.043,0.003,0.156,0.434,0.312,0.111,0.212,0.322,0.253,0.117,0.084
56,38880,0.042,0.003,0.167,0.308,0.285,0.104,0.207,0.382,0.256,0.118,0.058
56,39280,0.038,0.003,0.176,0.3,0.253,0.096,0.206,0.368,0.232,0.102,0.062
56,39680,0.043,0.005,0.141,0.436,0.314,0.094,0.205,0.358,0.248,0.075,0.098
56,40080,0.04,0.003,0.164,0.35,0.254,0.087,0.204,0.302,0.205,0.11,0.058
56,40480,0.045,0.003,0.176,0.509,0.316,0.116,0.216,0.459,0.267,0.141,0.091
56,40880,0.04,0.003,0.158,0.543,0.317,0.099,0.162,0.334,0.237,0.101,0.06
56,41280,0.038,0.005,0.182,0.348,0.244,0.102,0.228,0.503,0.239,0.1,0.088
56,41680,0.039,0.003,0.181,0.388,0.301,0.1,0.224,0.28,0.238,0.094,0.105
57,96,0.046,0.004,0.13,0.445,0.269,0.091,0.177,0.498,0.231,0.102,0.072
57,496,0.039,0.003,0.179,0.464,0.274,0.091,0.197,0.286,0.22,0.108,0.087
57,896,0.045,0.003,0.162,0.399,0.275,0.101,0.2,0.419,0.244,0.097,0.098
57,1296,0.04,0.003,0.141,0.442,0.304,0.103,0.181,0.329,0.239,0.125,0.092
57,1696,0.04,0.002,0.162,0.639,0.266,0.091,0.157,0.433,0.22,0.116,0.142
57,2096,0.039,0.003,0.192,0.43,0.28,0.084,0.187,0.412,0.21,0.091,0.101
57,2496,0.039,0.003,0.14,0.471,0.358,0.115,0.164,0.385,0.283,0.111,0.152
57,2896,0.04,0.003,0.21,0.413,0.266,0.084,0.212,0.344,0.195,0.1,0.124
57,3296,0.04,0.002,0.13,0.431,0.244,0.087,0.153,0.418,0.226,0.098,0.103
57,3696,0.043,0.004,0.187,0.413,0.303,0.103,0.202,0.337,0.268,0.1,0.108
57,4096,0.039,0.003,0.193,0.315,0.338,0.105,0.226,0.365,0.275,0.094,0.11
57,4496,0.04,0.003,0.168,0.302,0.342,0.12,0.203,0.379,0.296,0.139,0.13
57,4896,0.039,0.003,0.179,0.498,0.325,0.112,0.21,0.282,0.259,0.138,0.158
57,5296,0.043,0.004,0.178,0.338,0.259,0.08,0.173,0.391,0.203,0.125,0.144
57,5696,0.044,0.003,0.191,0.326,0.307,0.099,0.228,0.335,0.24,0.138,0.185
57,6096,0.04,0.003,0.2,0.399,0.28,0.093,0.202,0.34,0.242,0.114,0.185
57,6496,0.043,0.003,0.172,0.44,0.257,0.085,0.192,0.465,0.21,0.137,0.186
57,6896,0.04,0.003,0.22,0.372,0.306,0.085,0.227,0.291,0.228,0.15,0.191
57,7296,0.04,0.003,0.185,0.337,0.278,0.085,0.201,0.348,0.22,0.105,0.152
57,7696,0.038,0.003,0.159,0.357,0.293,0.101,0.192,0.304,0.259,0.141,0.16
57,8096,0.043,0.003,0.178,0.479,0.225,0.083,0.209,0.362,0.215,0.137,0.086
57,8496,0.04,0.003,0.159,0.3,0.302,0.111,0.202,0.295,0.274,0.102,0.066
57,8896,0.044,0.004,0.143,0.452,0.222,0.077,0.18,0.428,0.198,0.194,0.072
57,9296,0.041,0.003,0.192,0.445,0.299,0.096,0.236,0.361,0.224,0.146,0.103
57,9696,0.039,0.003,0.176,0.386,0.294,0.098,0.195,0.288,0.232,0.128,0.103
57,10096,0.039,0.004,0.211,0.396,0.282,0.084,0.23,0.462,0.217,0.129,0.099
57,10496,0.048,0.003,0.154,0.429,0.234,0.08,0.189,0.364,0.226,0.149,0.159
57,10896,0.041,0.004,0.19,0.367,0.287,0.098,0.196,0.395,0.24,0.136,0.156
57,11296,0.039,0.005,0.242,0.362,0.277,0.081,0.219,0.303,0.197,0.101,0.154
57,11696,0.045,0.003,0.2,0.452,0.218,0.085,0.178,0.432,0.197,0.122,0.154
57,12096,0.039,0.003,0.222,0.397,0.315,0.112,0.26,0.329,0.267,0.11,0.111
57,12496,0.039,0.003,0.194,0.384,0.285,0.087,0.224,0.386,0.216,0.129,0.111
57,12896,0.039,0.003,0.205,0.407,0.242,0.083,0.224,0.338,0.204,0.116,0.091
57,13296,0.043,0.003,0.206,0.4,0.231,0.078,0.231,0.363,0.207,0.119,0.091
57,13696,0.04,0.004,0.168,0.338,0.266,0.092,0.203,0.344,0.219,0.097,0.075
57,14096,0.038,0.003,0.169,0.426,0.244,0.076,0.2,0.436,0.185,0.121,0.112
57,14496,0.04,0.004,0.156,0.372,0.276,0.08,0.214,0.352,0.189,0.105,0.099
57,14896,0.04,0.003,0.185,0.352,0.287,0.107,0.198,0.351,0.274,0.088,0.096
57,15296,0.044,0.005,0.216,0.412,0.254,0.082,0.232,0.371,0.199,0.09,0.065
57,15696,0.04,0.003,0.162,0.289,0.288,0.099,0.197,0.367,0.242,0.116,0.12
57,16096,0.038,0.005,0.218,0.42,0.325,0.11,0.2,0.319,0.267,0.106,0.101
57,16496,0.039,0.004,0.175,0.34,0.291,0.118,0.212,0.344,0.238,0.124,0.194
57,16896,0.043,0.003,0.209,0.25,0.29,0.098,0.225,0.329,0.249,0.115,0.124
57,17296,0.039,0.004,0.232,0.405,0.259,0.077,0.241,0.394,0.208,0.118,0.225
57,17696,0.044,0.003,0.213,0.381,0.311,0.109,0.203,0.316,0.253,0.116,0.114
57,18096,0.044,0.003,0.214,0.443,0.342,0.112,0.231,0.424,0.282,0.093,0.162
57,18496,0.038,0.003,0.239,0.401,0.32,0.107,0.224,0.281,0.242,0.106,0.125
57,18896,0.038,0.003,0.186,0.307,0.238,0.076,0.21,0.348,0.199,0.103,0.063
57,19296,0.039,0.003,0.137,0.454,0.224,0.061,0.171,0.393,0.156,0.112,0.071
57,19696,0.04,0.003,0.207,0.281,0.249,0.081,0.213,0.258,0.194,0.11,0.087
57,20096,0.044,0.003,0.198,0.481,0.277,0.085,0.211,0.49,0.201,0.112,0.091
57,20496,0.039,0.004,0.194,0.602,0.267,0.082,0.198,0.331,0.214,0.116,0.133
57,20896,0.038,0.004,0.162,0.384,0.251,0.082,0.189,0.427,0.2,0.126,0.127
57,21296,0.04,0.004,0.186,0.375,0.277,0.098,0.184,0.295,0.242,0.123,0.073
57,21696,0.039,0.003,0.2,0.315,0.298,0.101,0.23,0.332,0.238,0.118,0.104
57,22096,0.043,0.004,0.161,0.492,0.371,0.121,0.217,0.3,0.298,0.114,0.145
57,22496,0.039,0.003,0.192,0.297,0.31,0.105,0.181,0.356,0.254,0.124,0.147
57,22896,0.045,0.005,0.129,0.481,0.262,0.083,0.19,0.458,0.215,0.113,0.22
57,23296,0.04,0.003,0.212,0.411,0.28,0.091,0.216,0.272,0.223,0.092,0.102
57,23696,0.041,0.003,0.153,0.373,0.204,0.074,0.203,0.491,0.194,0.096,0.061
57,24096,0.04,0.003,0.2,0.518,0.26,0.108,0.219,0.327,0.233,0.116,0.093
57,24496,0.039,0.003,0.139,0.313,0.29,0.104,0.191,0.508,0.242,0.127,0.085
57,24896,0.045,0.003,0.152,0.431,0.309,0.119,0.199,0.3,0.266,0.121,0.086
57,25296,0.04,0.004,0.153,0.469,0.206,0.086,0.182,0.416,0.207,0.131,0.06
57,25696,0.044,0.004,0.19,0.397,0.253,0.108,0.224,0.327,0.245,0.122,0.113
57,26096,0.044,0.004,0.208,0.407,0.253,0.09,0.235,0.408,0.22,0.1,0.079
57,26496,0.04,0.004,0.164,0.405,0.238,0.073,0.183,0.358,0.193,0.096,0.103
57,26896,0.039,0.004,0.226,0.345,0.289,0.1,0.241,0.275,0.246,0.087,0.072
57,27296,0.043,0.003,0.187,0.341,0.378,0.12,0.219,0.412,0.295,0.092,0.108
57,27696,0.04,0.004,0.144,0.378,0.313,0.131,0.172,0.331,0.281,0.087,0.105
57,28096,0.04,0.005,0.23,0.391,0.3,0.089,0.202,0.422,0.224,0.11,0.094
57,28496,0.041,0.004,0.123,0.456,0.314,0.108,0.153,0.348,0.265,0.158,0.077
57,28896,0.039,0.003,0.245,0.249,0.273,0.114,0.218,0.27,0.261,0.1,0.073
57,29296,0.039,0.003,0.134,0.472,0.228,0.073,0.187,0.565,0.182,0.1,0.144
57,29696,0.045,0.003,0.229,0.52,0.349,0.138,0.216,0.258,0.309,0.099,0.147
57,30096,0.039,0.004,0.19,0.302,0.265,0.085,0.177,0.42,0.214,0.107,0.145
57,30496,0.038,0.004,0.247,0.374,0.26,0.092,0.203,0.334,0.214,0.095,0.128
57,30896,0.038,0.003,0.195,0.494,0.295,0.093,0.177,0.462,0.249,0.121,0.087
57,31296,0.038,0.003,0.225,0.272,0.262,0.07,0.234,0.367,0.194,0.137,0.079
57,31696,0.038,0.003,0.228,0.431,0.307,0.099,0.265,0.361,0.253,0.114,0.099
57,32096,0.038,0.005,0.186,0.435,0.268,0.097,0.207,0.388,0.242,0.099,0.072
57,32496,0.044,0.003,0.185,0.447,0.325,0.097,0.18,0.327,0.244,0.128,0.074
57,32896,0.044,0.005,0.193,0.407,0.247,0.079,0.206,0.399,0.215,0.145,0.08
57,33296,0.041,0.005,0.178,0.399,0.235,0.082,0.206,0.339,0.201,0.174,0.126
57,33696,0.038,0.004,0.167,0.412,0.296,0.104,0.164,0.377,0.249,0.15,0.12
57,34096,0.039,0.005,0.159,0.363,0.321,0.122,0.189,0.388,0.299,0.126,0.123
57,34496,0.044,0.004,0.182,0.393,0.295,0.106,0.22,0.355,0.258,0.127,0.147
57,34896,0.041,0.003,0.192,0.338,0.256,0.088,0.201,0.323,0.223,0.097,0.117
57,35296,0.039,0.003,0.193,0.419,0.269,0.075,0.218,0.4,0.198,0.118,0.124
57,35696,0.038,0.003,0.18,0.422,0.315,0.111,0.23,0.379,0.254,0.098,0.101
57,36096,0.039,0.003,0.178,0.386,0.323,0.128,0.234,0.411,0.293,0.103,0.098
57,36496,0.038,0.003,0.169,0.542,0.238,0.083,0.194,0.354,0.214,0.101,0.118
57,36896,0.044,0.004,0.171,0.325,0.281,0.069,0.194,0.341,0.19,0.119,0.115
57,37296,0.039,0.004,0.175,0.491,0.316,0.1,0.223,0.388,0.249,0.141,0.161
57,37696,0.039,0.004,0.183,0.349,0.254,0.094,0.204,0.4,0.224,0.11,0.177
57,38096,0.041,0.003,0.217,0.432,0.251,0.096,0.213,0.347,0.214,0.121,0.181
57,38496,0.04,0.005,0.196,0.397,0.253,0.096,0.218,0.31,0.213,0.087,0.061
57,38896,0.04,0.003,0.193,0.508,0.253,0.069,0.218,0.384,0.171,0.146,0.08
57,39296,0.044,0.004,0.183,0.376,0.265,0.069,0.206,0.425,0.176,0.131,0.096
57,39696,0.04,0.003,0.218,0.392,0.284,0.102,0.226,0.285,0.244,0.102,0.084
57,40096,0.04,0.003,0.187,0.365,0.329,0.113,0.227,0.273,0.27,0.094,0.094
57,40496,0.038,0.003,0.168,0.328,0.253,0.099,0.201,0.317,0.245,0.081,0.08
57,40896,0.04,0.004,0.186,0.453,0.306,0.091,0.221,0.442,0.22,0.124,0.136
57,41296,0.039,0.003,0.178,0.307,0.271,0.096,0.192,0.314,0.214,0.091,0.116
57,41696,0.04,0.004,0.202,0.329,0.292,0.104,0.224,0.391,0.253,0.124,0.14
58,112,0.044,0.004,0.157,0.344,0.257,0.1,0.166,0.32,0.247,0.089,0.083
58,512,0.039,0.002,0.22,0.356,0.336,0.112,0.207,0.334,0.259,0.102,0.105
58,912,0.04,0.003,0.219,0.359,0.27,0.099,0.254,0.38,0.243,0.134,0.094
58,1312,0.039,0.003,0.187,0.291,0.316,0.099,0.238,0.334,0.238,0.099,0.077
58,1712,0.039,0.003,0.158,0.386,0.317,0.117,0.164,0.278,0.278,0.091,0.119
58,2112,0.046,0.003,0.179,0.454,0.294,0.108,0.224,0.362,0.246,0.113,0.076
58,2512,0.039,0.003,0.173,0.381,0.308,0.11,0.171,0.335,0.258,0.114,0.086
58,2912,0.04,0.003,0.191,0.339,0.29,0.101,0.218,0.369,0.237,0.131,0.113
58,3312,0.04,0.003,0.156,0.42,0.236,0.078,0.22,0.406,0.195,0.115,0.089
58,3712,0.04,0.003,0.137,0.356,0.304,0.091,0.178,0.34,0.234,0.103,0.092
