epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
1,26000,0.034,0.002,0.264,0.264,0.711,0.231,0.266,0.251,0.481,0.164,0.439
1,26400,0.031,0.002,0.268,0.277,0.626,0.227,0.26,0.252,0.483,0.167,0.417
1,26800,0.033,0.003,0.267,0.29,0.669,0.231,0.254,0.228,0.506,0.143,0.354
1,27200,0.034,0.002,0.258,0.263,0.928,0.277,0.26,0.253,0.56,0.153,0.444
1,27600,0.033,0.002,0.26,0.265,0.78,0.3,0.257,0.282,0.607,0.227,0.366
1,28000,0.033,0.002,0.249,0.26,0.763,0.27,0.258,0.28,0.564,0.223,0.28
1,28400,0.036,0.004,0.26,0.26,1.162,0.478,0.258,0.278,0.965,0.221,1.591
1,28800,0.032,0.002,0.253,0.254,0.711,0.229,0.254,0.246,0.465,0.184,0.461
1,29200,0.033,0.002,0.258,0.278,1.211,0.341,0.259,0.236,0.682,0.208,0.589
1,29600,0.034,0.003,0.256,0.259,0.635,0.24,0.256,0.218,0.507,0.195,0.333
1,30000,0.031,0.002,0.253,0.292,0.582,0.265,0.259,0.256,0.552,0.183,0.386
1,30400,0.037,0.003,0.257,0.277,1.023,0.281,0.261,0.26,0.55,0.186,0.648
1,30800,0.033,0.002,0.266,0.283,0.968,0.262,0.258,0.256,0.542,0.213,0.437
1,31200,0.036,0.003,0.258,0.264,0.581,0.233,0.255,0.272,0.476,0.141,0.232
1,31600,0.032,0.002,0.262,0.259,0.699,0.285,0.259,0.269,0.588,0.2,0.399
1,32000,0.034,0.002,0.258,0.261,0.7,0.244,0.259,0.26,0.515,0.194,0.387
1,32400,0.036,0.002,0.258,0.264,0.712,0.234,0.262,0.267,0.5,0.167,0.274
1,32800,0.033,0.002,0.256,0.286,0.838,0.336,0.261,0.268,0.668,0.254,0.442
1,33200,0.032,0.002,0.261,0.296,0.665,0.24,0.259,0.263,0.476,0.169,0.281
1,33600,0.034,0.002,0.255,0.274,0.639,0.245,0.258,0.254,0.486,0.138,0.346
1,34000,0.034,0.002,0.255,0.252,0.628,0.246,0.261,0.268,0.518,0.177,0.259
1,34400,0.035,0.002,0.264,0.242,0.85,0.32,0.261,0.245,0.643,0.19,0.59
1,34800,0.036,0.002,0.258,0.255,0.876,0.293,0.255,0.262,0.636,0.221,0.438
1,35200,0.035,0.002,0.256,0.261,0.696,0.311,0.254,0.241,0.656,0.194,0.64
1,35600,0.036,0.002,0.252,0.278,1.107,0.347,0.259,0.253,0.777,0.183,0.711
1,36000,0.033,0.003,0.262,0.257,0.859,0.269,0.259,0.232,0.56,0.2,0.411
1,36400,0.032,0.002,0.256,0.258,0.893,0.345,0.256,0.256,0.658,0.227,0.992
1,36800,0.033,0.003,0.263,0.284,0.728,0.249,0.258,0.244,0.516,0.171,0.514
1,37200,0.036,0.003,0.271,0.291,0.63,0.263,0.258,0.245,0.554,0.21,0.317
1,37600,0.033,0.002,0.253,0.253,0.634,0.237,0.252,0.23,0.496,0.186,0.307
1,38000,0.032,0.002,0.259,0.25,0.644,0.271,0.253,0.229,0.535,0.203,0.435
1,38400,0.032,0.002,0.257,0.254,0.763,0.255,0.259,0.242,0.534,0.183,0.499
1,38800,0.032,0.002,0.257,0.262,0.82,0.278,0.253,0.244,0.572,0.196,0.298
1,39200,0.034,0.002,0.258,0.274,0.563,0.232,0.262,0.253,0.525,0.191,0.256
1,39600,0.036,0.002,0.257,0.268,0.78,0.282,0.261,0.252,0.575,0.176,0.497
1,40000,0.033,0.002,0.262,0.264,0.618,0.215,0.253,0.27,0.45,0.171,0.299
1,40400,0.032,0.002,0.255,0.252,0.826,0.233,0.255,0.243,0.471,0.184,0.485
1,40800,0.033,0.002,0.259,0.242,0.925,0.304,0.256,0.252,0.693,0.176,0.857
1,41200,0.033,0.002,0.262,0.235,0.718,0.242,0.258,0.242,0.508,0.216,0.327
1,41600,0.034,0.002,0.259,0.234,0.922,0.233,0.252,0.252,0.503,0.231,0.347
2,16,0.028,0.002,0.256,0.25,0.966,0.249,0.258,0.277,0.51,0.162,0.337
2,416,0.035,0.004,0.259,0.262,0.758,0.254,0.257,0.294,0.522,0.206,0.336
2,816,0.036,0.002,0.257,0.258,0.67,0.261,0.258,0.285,0.538,0.182,0.233
2,1216,0.032,0.002,0.265,0.27,0.652,0.231,0.261,0.267,0.465,0.2,0.241
2,1616,0.036,0.002,0.258,0.28,0.736,0.251,0.256,0.282,0.506,0.163,0.229
2,2016,0.034,0.002,0.262,0.279,0.629,0.232,0.265,0.289,0.466,0.175,0.248
2,2416,0.031,0.002,0.26,0.252,0.704,0.262,0.262,0.295,0.529,0.183,0.472
2,2816,0.036,0.002,0.263,0.264,0.569,0.204,0.263,0.29,0.415,0.137,0.267
2,3216,0.032,0.002,0.262,0.249,0.736,0.253,0.258,0.268,0.506,0.166,0.258
2,3616,0.032,0.002,0.257,0.257,0.687,0.242,0.26,0.28,0.491,0.174,0.311
2,4016,0.036,0.002,0.256,0.227,0.571,0.237,0.255,0.277,0.515,0.168,0.367
2,4416,0.032,0.002,0.255,0.243,0.536,0.203,0.259,0.235,0.418,0.145,0.373
2,4816,0.034,0.003,0.254,0.241,0.632,0.186,0.255,0.234,0.385,0.177,0.277
2,5216,0.036,0.002,0.257,0.245,0.698,0.214,0.256,0.244,0.427,0.175,0.2
2,5616,0.034,0.003,0.252,0.246,0.643,0.243,0.247,0.252,0.498,0.165,0.283
2,6016,0.033,0.003,0.255,0.262,0.635,0.243,0.256,0.264,0.518,0.203,0.385
2,6416,0.036,0.003,0.252,0.268,0.838,0.242,0.252,0.266,0.491,0.184,0.287
2,6816,0.033,0.003,0.258,0.269,0.672,0.245,0.256,0.283,0.504,0.183,0.309
2,7216,0.034,0.003,0.259,0.279,0.527,0.252,0.26,0.286,0.545,0.153,0.304
2,7616,0.036,0.003,0.26,0.267,0.723,0.275,0.259,0.253,0.561,0.154,0.593
2,8016,0.034,0.003,0.254,0.271,0.869,0.269,0.253,0.266,0.536,0.203,0.339
2,8416,0.034,0.003,0.254,0.277,0.723,0.276,0.254,0.262,0.56,0.176,0.428
2,8816,0.035,0.003,0.255,0.269,0.624,0.263,0.256,0.28,0.524,0.156,0.403
2,9216,0.035,0.003,0.253,0.269,0.567,0.204,0.254,0.28,0.413,0.117,0.379
2,9616,0.036,0.003,0.248,0.257,0.582,0.204,0.259,0.277,0.422,0.151,0.199
2,10016,0.033,0.003,0.262,0.268,0.663,0.299,0.253,0.269,0.6,0.156,0.434
2,10416,0.035,0.003,0.254,0.267,0.69,0.268,0.256,0.281,0.538,0.161,0.496
2,10816,0.033,0.003,0.255,0.265,0.444,0.194,0.255,0.265,0.428,0.139,0.138
2,11216,0.032,0.003,0.258,0.251,0.606,0.205,0.248,0.237,0.431,0.195,0.291
2,11616,0.035,0.003,0.257,0.259,0.524,0.287,0.259,0.252,0.597,0.132,0.513
2,12016,0.033,0.003,0.254,0.263,0.828,0.318,0.256,0.246,0.639,0.239,0.52
2,12416,0.034,0.003,0.254,0.241,0.779,0.25,0.254,0.266,0.504,0.165,0.258
2,12816,0.033,0.003,0.258,0.251,0.306,0.168,0.251,0.248,0.36,0.086,0.163
2,13216,0.034,0.003,0.254,0.246,0.553,0.224,0.255,0.256,0.47,0.177,0.247
2,13616,0.033,0.003,0.255,0.278,0.494,0.21,0.255,0.261,0.434,0.159,0.151
2,14016,0.033,0.003,0.261,0.265,0.477,0.189,0.251,0.27,0.39,0.139,0.18
2,14416,0.034,0.003,0.258,0.288,0.554,0.198,0.259,0.261,0.406,0.143,0.155
2,14816,0.033,0.003,0.259,0.256,0.645,0.245,0.266,0.271,0.513,0.182,0.307
2,15216,0.034,0.003,0.261,0.265,0.775,0.248,0.258,0.27,0.505,0.156,0.349
2,15616,0.032,0.003,0.255,0.274,0.639,0.266,0.257,0.288,0.532,0.163,0.503
2,16016,0.034,0.004,0.254,0.276,0.689,0.279,0.253,0.266,0.545,0.188,0.489
2,16416,0.033,0.003,0.257,0.288,0.577,0.225,0.263,0.278,0.454,0.143,0.432
2,16816,0.032,0.003,0.257,0.271,0.417,0.181,0.254,0.264,0.373,0.135,0.266
2,17216,0.034,0.003,0.248,0.276,0.66,0.226,0.256,0.242,0.464,0.137,0.299
2,17616,0.037,0.003,0.258,0.247,0.548,0.265,0.254,0.252,0.54,0.162,0.4
2,18016,0.033,0.003,0.258,0.251,0.449,0.197,0.26,0.258,0.396,0.119,0.289
2,18416,0.032,0.003,0.254,0.226,0.64,0.266,0.251,0.249,0.545,0.165,0.259
2,18816,0.034,0.003,0.259,0.231,0.633,0.292,0.258,0.265,0.58,0.16,0.637
2,19216,0.035,0.003,0.258,0.247,0.55,0.209,0.255,0.262,0.422,0.138,0.303
2,19616,0.036,0.003,0.256,0.26,0.592,0.191,0.249,0.251,0.384,0.144,0.256
2,20016,0.033,0.002,0.252,0.267,0.707,0.221,0.255,0.27,0.444,0.169,0.369
2,20416,0.036,0.003,0.256,0.264,0.725,0.252,0.259,0.269,0.527,0.178,0.423
2,20816,0.033,0.003,0.251,0.252,0.521,0.207,0.251,0.252,0.429,0.146,0.192
2,21216,0.037,0.003,0.256,0.282,0.692,0.247,0.255,0.244,0.487,0.15,0.511
2,21616,0.034,0.003,0.256,0.287,0.651,0.254,0.26,0.256,0.563,0.145,0.342
2,22016,0.035,0.003,0.257,0.289,0.65,0.379,0.255,0.28,0.745,0.184,0.535
2,22416,0.033,0.003,0.256,0.292,0.518,0.246,0.259,0.264,0.492,0.131,0.449
2,22816,0.032,0.003,0.257,0.277,0.497,0.192,0.266,0.275,0.415,0.127,0.21
2,23216,0.033,0.003,0.253,0.282,0.44,0.162,0.26,0.285,0.338,0.115,0.162
2,23616,0.033,0.003,0.252,0.297,0.512,0.202,0.258,0.287,0.419,0.163,0.281
2,24016,0.033,0.003,0.268,0.31,0.503,0.206,0.257,0.281,0.414,0.118,0.306
2,24416,0.032,0.003,0.26,0.273,0.611,0.235,0.25,0.269,0.471,0.147,0.363
2,24816,0.032,0.003,0.259,0.264,0.63,0.204,0.257,0.265,0.43,0.168,0.21
2,25216,0.032,0.003,0.251,0.244,0.584,0.228,0.259,0.261,0.455,0.154,0.28
2,25616,0.033,0.003,0.263,0.252,0.626,0.305,0.258,0.259,0.627,0.147,0.402
2,26016,0.034,0.003,0.254,0.252,0.714,0.258,0.253,0.267,0.533,0.218,0.347
2,26416,0.034,0.003,0.256,0.25,0.429,0.197,0.258,0.259,0.391,0.116,0.164
2,26816,0.033,0.003,0.249,0.23,0.6,0.226,0.252,0.244,0.453,0.151,0.209
2,27216,0.035,0.003,0.256,0.242,0.675,0.218,0.259,0.273,0.448,0.163,0.237
2,27616,0.033,0.003,0.257,0.212,0.555,0.225,0.261,0.275,0.463,0.132,0.502
2,28016,0.032,0.003,0.252,0.231,0.729,0.247,0.256,0.29,0.493,0.18,0.342
2,28416,0.035,0.003,0.253,0.255,0.615,0.216,0.255,0.274,0.444,0.144,0.348
2,28816,0.036,0.003,0.257,0.263,0.662,0.216,0.254,0.299,0.444,0.173,0.52
2,29216,0.036,0.003,0.256,0.246,0.658,0.251,0.251,0.274,0.51,0.185,0.297
2,29616,0.033,0.003,0.254,0.244,0.592,0.251,0.256,0.256,0.521,0.136,0.186
2,30016,0.032,0.003,0.254,0.24,0.53,0.208,0.249,0.244,0.431,0.158,0.218
2,30416,0.033,0.003,0.253,0.266,0.424,0.18,0.257,0.25,0.37,0.13,0.248
2,30816,0.031,0.003,0.254,0.258,0.601,0.266,0.256,0.244,0.533,0.144,0.678
2,31216,0.036,0.003,0.261,0.276,0.688,0.213,0.257,0.267,0.432,0.126,0.366
2,31616,0.031,0.003,0.263,0.278,0.507,0.194,0.257,0.254,0.401,0.144,0.191
2,32016,0.034,0.003,0.253,0.269,0.515,0.217,0.25,0.262,0.458,0.127,0.266
2,32416,0.033,0.003,0.255,0.274,0.492,0.206,0.255,0.271,0.44,0.137,0.222
2,32816,0.032,0.003,0.257,0.287,0.494,0.266,0.253,0.268,0.533,0.129,0.412
